Zone,Production,Importations - Quantité,Exportations - Quantité,Pertes,Nourriture,Disponibilité intérieure,Variation de stock,Aliments pour animaux,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Population_1000,Taux_dependance_alimentaire,Ratio_pertes,Production_par_capita,Ratio_export_import
Honduras,14050.0,1861.0,2717.0,316.0,4444.0,13264.0,-57.0,561.0,29.333333333333332,5.420344827586207,0.7932183908045976,0.7360919540229885,9429.013,0.1403045732580991,0.02382388240169765,1.4900815716256226,1.4599669747625068
Hongrie,27417.0,4055.0,14484.0,362.0,7458.0,17707.0,-728.0,4519.0,38.694117647058825,9.009294117647059,1.803294117647059,1.0324705882352943,9729.823,0.22900546512647738,0.020443891091438918,2.8178310316815596,3.5718856789431124
Inde,1223513.0,33869.0,35006.0,74526.0,710817.0,1181350.0,41025.0,65899.0,28.908045977011493,6.101264367816093,0.6482758620689655,0.7551724137931035,1338676.785,0.028669742219774207,0.0630854530299357,0.913971925707241,1.0335704911993124
Indonésie,451871.0,26108.0,39901.0,15169.0,150078.0,443350.0,-5281.0,14242.0,32.88636363636363,6.444204545454546,0.6284090909090909,0.7798863636363635,264650.963,0.05888801159605726,0.03421450313699221,1.7074224600217214,1.5283054416919932
Iran (République islamique d'),93350.0,17640.0,7122.0,6512.0,60558.0,104836.0,-968.0,17208.0,37.54216867469879,9.04421686746988,0.9355421686746989,1.0553012048192771,80673.883,0.1682628088799381,0.06211606640737851,1.1571278754844627,0.4037414737108008
Iraq,6733.0,11033.0,151.0,841.0,14219.0,17682.0,-64.0,1646.0,30.180722891566266,4.454,0.8165882352941176,0.7207142857142858,37552.781,0.6239678416486912,0.047562490240782136,0.17929430634460053,0.013686212844537946
Irlande,13790.0,7593.0,9388.0,171.0,4663.0,11303.0,714.0,4006.0,44.214285714285715,11.677619047619046,1.6804761904761905,1.259642857142857,4753.279,0.6717684975874991,0.015128725548197332,2.9011545711592834,1.2364017863292787
Islande,1710.0,296.0,1445.0,1.0,323.0,538.0,14.0,139.0,45.3625,12.29425,2.08725,1.76675,334.393,0.5501848509575261,0.0018587326045862369,5.113728117131289,4.8817402643909995
Israël,6978.0,6630.0,1275.0,324.0,7267.0,11964.0,374.0,2784.0,41.75,10.496904761904762,1.8516666666666666,1.4597619047619048,8243.848,0.5541624411432262,0.027081241467632775,0.8464492738768019,0.19230766330201157
Italie,79192.0,41462.0,26998.0,1873.0,57155.0,93706.0,-50.0,15967.0,41.43529411764706,11.083294117647059,1.782,1.2551764705882353,60673.701,0.4424689940615436,0.019988047510425717,1.305211275883578,0.6511504353106354
Jamaïque,2935.0,1260.0,184.0,233.0,1983.0,3966.0,47.0,413.0,33.18072289156626,8.188795180722892,0.9467469879518072,0.8774698795180723,2920.848,0.3177003737517968,0.05874935482870528,1.0048448242274763,0.14603163013362688
Japon,61392.0,50109.0,1689.0,3209.0,73827.0,109433.0,382.0,15382.0,30.670454545454547,6.579204545454545,0.9953409090909091,0.9831818181818182,127502.725,0.4578966083549148,0.029323878269590722,0.4814955877884524,0.03370651911420066
Jordanie,3215.0,4542.0,892.0,420.0,4800.0,7120.0,-254.0,1624.0,31.95294117647059,5.7694117647058825,1.0689411764705883,0.8127058823529412,9785.843,0.6379212587189244,0.058988755760006215,0.32853579108761594,0.19638921259594613
Kazakhstan,42042.0,3698.0,10329.0,1745.0,17001.0,36429.0,-1013.0,10067.0,38.035714285714285,11.193571428571428,1.5315476190476192,1.130595238095238,18080.019,0.10151252843853721,0.04790139592353906,2.32532928614017,2.793130667082026
Kenya,26467.0,7290.0,1369.0,1772.0,23090.0,31394.0,1000.0,1963.0,23.876404494382022,5.10788888888889,0.501,0.6763333333333333,50221.142,0.23220996903198163,0.056443904681024885,0.5270091124767909,0.1877914694387559
Kirghizistan,7958.0,934.0,274.0,198.0,5037.0,8605.0,8.0,1912.0,35.84615384615385,10.437564102564103,0.8584615384615384,1.0933333333333333,6189.733,0.10854153299924078,0.023009875303907575,1.285677219731898,0.29336157027669135
Kiribati,367.0,29.0,98.0,8.0,70.0,294.0,3.0,20.0,43.04225352112676,8.844225352112675,1.460845070422535,1.0408450704225352,114.158,0.09863912027510112,0.027210791800027893,3.2148144254942665,3.3791938209027275
Koweït,816.0,3575.0,576.0,107.0,2788.0,3743.0,69.0,778.0,42.01219512195122,8.389878048780488,1.2897560975609756,1.2157317073170733,4056.099,0.9551159617643703,0.0285866875269336,0.2011784719311654,0.16111883605067523
Lesotho,507.0,476.0,44.0,36.0,806.0,886.0,54.0,26.0,27.76829268292683,4.707804878048781,0.5285365853658537,0.7798780487804878,2091.534,0.5372454432895674,0.0406320083160177,0.24240569725106198,0.09243678059499875
Lettonie,5291.0,2513.0,4474.0,60.0,1829.0,3161.0,213.0,723.0,39.625,11.747499999999999,1.557625,1.215875,1951.097,0.7950013302748085,0.018981329015713692,2.711806377742174,1.78034151200099
