CODDEP,COM,PMUN,PTOT,Id_codedep_codecommune,Geolocalisation
1,Saint-Julien-sur-Reyssouze,746,750,1367,"46.3997655501,5.10354296019"
1,Saint-Julien-sur-Veyle,838,853,1368,"46.2014862081,4.959356342"
1,Saint-Just,942,967,1369,"46.1929758576,5.28494181398"
1,Saint-Laurent-sur-Saône,1688,1716,1370,"46.3051486294,4.83949202669"
1,Saint-Marcel,1242,1271,1371,"45.9485803654,4.9896671017"
1,Saint-Martin-de-Bavel,444,449,1372,"45.848212674,5.67889099153"
1,Saint-Martin-du-Frêne,1023,1053,1373,"46.135983782,5.57106016428"
1,Saint-Martin-du-Mont,1871,1916,1374,"46.1061500835,5.32551470817"
1,Saint-Martin-le-Châtel,782,802,1375,"46.291445874,5.12291715091"
1,Saint-Maurice-de-Beynost,3962,4001,1376,"45.8343709108,4.97726215174"
1,Saint-Maurice-de-Gourdans,2645,2699,1378,"45.8200191939,5.16980415584"
1,Saint-Maurice-de-Rémens,760,771,1379,"45.9527471237,5.2708276475"
1,Saint-Nizier-le-Bouchoux,632,645,1380,"46.4528537121,5.1759906585"
1,Saint-Nizier-le-Désert,921,939,1381,"46.052861561,5.14246131764"
1,Sainte-Olive,279,281,1382,"46.0142006121,4.93624894982"
1,Saint-Paul-de-Varax,1562,1583,1383,"46.0956691617,5.12762470203"
1,Saint-Rambert-en-Bugey,2188,2221,1384,"45.9504631708,5.44017084612"
1,Saint-Rémy,985,1008,1385,"46.1846642149,5.16771354778"
1,Saint-Sorlin-en-Bugey,1127,1193,1386,"45.886308438,5.37608915006"
1,Saint-Sulpice,256,259,1387,"46.3209806116,5.04148389346"
1,Saint-Trivier-de-Courtes,1102,1111,1388,"46.4612969335,5.06679195727"
1,Saint-Trivier-sur-Moignans,1834,1877,1389,"46.0618477991,4.90158948884"
1,Saint-Vulbas,1246,1267,1390,"45.8222315102,5.27019602929"
1,Salavre,271,279,1391,"46.3635396668,5.34742387197"
1,Samognat,656,683,1392,"46.2648715781,5.58607689306"
1,Sandrans,544,549,1393,"46.0656961548,4.98282673172"
1,Sault-Brénaz,977,990,1396,"45.8654038798,5.40416104083"
1,Sauverny,978,997,1397,"46.3126908233,6.11043836433"
1,Savigneux,1421,1438,1398,"45.997346828,4.8576200906"
1,Ségny,2107,2158,1399,"46.2935928404,6.07287743792"
1,Seillonnaz,139,142,1400,"45.7976976614,5.49810658524"
1,Sergy,2167,2238,1401,"46.2626243003,5.98914553194"
1,Sermoyer,652,672,1402,"46.4981991944,4.97856020441"
1,Serrières-de-Briord,1295,1336,1403,"45.8133219416,5.44125880379"
1,Serrières-sur-Ain,135,137,1404,"46.1466977757,5.45023362942"
1,Servas,1280,1309,1405,"46.1385540577,5.17887070992"
1,Servignat,174,175,1406,"46.4346497878,5.05559973107"
1,Seyssel,1002,1020,1407,"45.9484118176,5.82616979887"
1,Simandre-sur-Suran,661,673,1408,"46.2340471594,5.42240815305"
1,Sonthonnax-la-Montagne,300,307,1410,"46.2229768712,5.50566888767"
1,Souclin,273,279,1411,"45.8781798572,5.43058627512"
1,Sulignat,595,607,1412,"46.1735383313,4.95772382526"
1,Talissieu,499,505,1415,"45.8637167128,5.72090411074"
1,Tenay,1014,1025,1416,"45.922698278,5.51453923595"
1,Thil,1087,1114,1418,"45.8169214201,5.0184098869"
1,Thoiry,6021,6197,1419,"46.2435475879,5.96506297987"
1,Thoissey,1690,1698,1420,"46.1700943481,4.79387095814"
1,Torcieu,729,745,1421,"45.92125055,5.40400282244"
1,Tossiat,1355,1391,1422,"46.1384790158,5.30400055922"
1,Toussieux,1124,1145,1423,"45.959898291,4.82898610612"
1,Tramoyes,1776,1819,1424,"45.8745670311,4.9639268325"
1,La Tranclière,288,295,1425,"46.0970027075,5.26099875456"
1,Val-Revermont,2538,2597,1426,"46.2803281838,5.36083165162"
1,Trévoux,6920,7084,1427,"45.940671655,4.7714415007"
1,Valeins,126,127,1428,"46.1146467438,4.86551696868"
1,Vandeins,707,720,1429,"46.217806795,5.08189056957"
1,Varambon,619,631,1430,"46.0433928197,5.2947944594"
1,Vaux-en-Bugey,1227,1257,1431,"45.9201205456,5.36353184193"
1,Verjon,323,325,1432,"46.3459093717,5.34853019646"
1,Vernoux,313,317,1433,"46.4848229774,5.10590413121"
1,Versailleux,472,482,1434,"45.9854373478,5.11204819151"
1,Versonnex,2157,2226,1435,"46.2997631425,6.10057952207"
1,Vesancy,481,492,1436,"46.3610768127,6.08470665475"
1,Vescours,223,228,1437,"46.4743960759,5.02617426573"
1,Vésines,99,103,1439,"46.3593397751,4.86265852202"
1,Vieu-d'Izenave,734,752,1441,"46.0853386653,5.54922100161"
1,Villars-les-Dombes,4978,5073,1443,"45.9927150222,5.04507856642"
1,Villebois,1196,1213,1444,"45.8485624628,5.44711117486"
1,Villemotier,615,636,1445,"46.3458538978,5.31036160991"
1,Villeneuve,1548,1585,1446,"46.0319048788,4.85182526102"
1,Villereversure,1342,1374,1447,"46.1926750369,5.3947679407"
1,Villes,389,397,1448,"46.0954293058,5.7569250415"
1,Villette-sur-Ain,759,773,1449,"46.0099989032,5.25214547187"
1,Villieu-Loyes-Mollon,3717,3784,1450,"45.932014998,5.22953071636"
1,Viriat,6595,6745,1451,"46.2508985632,5.22302249216"
1,Virieu-le-Grand,1132,1156,1452,"45.8464417872,5.63971940347"
1,Arvière-en-Valromey,710,733,1453,"45.9063608209,5.73707051523"
1,Virignin,1112,1133,1454,"45.7267387762,5.71282330936"
1,Vongnes,71,73,1456,"45.8129059524,5.72536666767"
1,Vonnas,3181,3240,1457,"46.2168871367,4.99744373712"
2,Abbécourt,502,513,2001,"49.5991518653,3.17708232927"
2,Achery,610,618,2002,"49.6936187791,3.39735632148"
2,Acy,1021,1045,2003,"49.3471963534,3.41817609834"
2,Agnicourt-et-Séchelles,182,187,2004,"49.7166573626,3.96043211816"
2,Aguilcourt,380,388,2005,"49.393650796,3.96803679426"
2,Aisonville-et-Bernoville,262,271,2006,"49.930148162,3.51120205593"
2,Aizelles,122,123,2007,"49.4848002918,3.81870255331"
2,Aizy-Jouy,294,298,2008,"49.4384256824,3.51149185429"
2,Alaincourt,534,540,2009,"49.7667120841,3.36639043616"
2,Allemant,173,177,2010,"49.4624440593,3.45394275872"
2,Ambleny,1138,1192,2011,"49.3762672939,3.18334679178"
2,Ambrief,71,71,2012,"49.3215250088,3.40362196255"
2,Amifontaine,386,395,2013,"49.498787026,3.92278993322"
2,Amigny-Rouy,729,752,2014,"49.6108275885,3.30289341579"
2,Ancienville,72,73,2015,"49.2186389559,3.20808809779"
